County,Shelter,Address,City,Pets,Phone,Accepting,Last_updated,Updated_by,Notes,longitude,latitude,Supply Needs,Volunteer needs,Source,Address / Name
Liberty,Calvary Baptist Church,816 N. Blair,Cleveland,,281-593-1751,TRUE,2017-08-29 01:33 PM,Daniel,"175 people in shelter this morning, and still basically at capacity. 
They just received a number of supplies and said they're in pretty good shape in terms of food/clothing. 
They said they may need more volunteers later in the day as volunteers get tired.",-95.0877502,30.3511297,,,,"Calvary Baptist Church, 816 N. Blair, Cleveland, TX"
San Jacinto,Coldspring-Oakhurst Consolidated Jones Educational Complex,125 FM 1514,Coldspring,,(936) 653-1115,DNR,2017-08-30 02:03 PM,Brisa,,-95.127503,30.593176,men's and women's underwear and hand sanitizer,check Facebook page 8/31 for volunteer needs,https://www.facebook.com/COCISD/?rf=222167311278987,"Coldspring-Oakhurst Consolidated Jones Educational Complex, 125 FM 1514, Coldspring, TX"
Harris,Lone Star College North Harris,2700 W W Thorne Dr,Houston,,(281) 618-5400,FALSE,2017-08-29 03:27 PM,Doostee, Shelter at capacity. ,-95.3797033,30.0071377," Juice boxes for kids, towels, travel-sized toiletries – shampoo, toothpaste, toothbrushes, pet kennels, leashes, packaged snacks and ext. cords/power strips",,https://t.co/REjWR4UR7Q,"Lone Star College North Harris, 2700 W W Thorne Dr, Houston, TX"
Harris,Holy Name Catholic Church,1920 Marion St,Houston,,(832) 623-6180,TRUE,2017-08-30 02:42 PM,Hallie,Would like people to call first to check capacity before coming to evacuate- will help redirect to another open shelter if at capacity,-95.3563779,29.7791986,"Sandwich bags; gallon and quart size zip lock bags; blue & purple Similac Advance baby formula; any size trash bags; canned foods; paper towels; diapers any size; baby wipes; gatorade and drinks
",Volunteers needed. I would call first,,"Holy Name Catholic Church, 1920 Marion St, Houston, TX"
Harris,Kashmere Garden Library,5411 Pardee St,Houston,,(832) 393-2450,DNR,2017-08-29 07:46 PM,Meredith,No answer; voice mail (changed date from 12/29 to 8/29 - guessing it was a typo ~bon),-95.3166428,29.8062432,,,,"Kashmere Garden Library, 5411 Pardee St, Houston, TX"
Harris,Lindale United Church of Christ,6502 Enid St,Houston,,(713) 692-4489,DNR,2017-08-29 01:03 PM,Anne,THEY ARE FULL/ as of 12:45 pm ,-95.3746565,29.8166583,,,,"Lindale United Church of Christ, 6502 Enid St, Houston, TX"
Harris,Community of Faith Church,1024 Pinemont Dr,Houston,,(713) 688-2900,DNR,2017-08-29 11:34 AM,Jonathan,Spoke with woman on FB ,-95.4202736,29.8429305,"Precooked breakfast and lunch food, need bedding, towels, luggage, baby supplies",,,"Community of Faith Church, 1024 Pinemont Dr, Houston, TX"
Harris,Trotter Family YMCA,1331 Augusta Dr,Houston,,(713) 781-1061,FALSE,2017-08-30 10:36 AM,Scott,"NO MORE as of approx 2PM, all supplies being moved elsewhere, they are winding down activity",-95.4820306,29.7529936,,,,"Trotter Family YMCA, 1331 Augusta Dr, Houston, TX"
Harris,Dobie High School,10220 Blackhawk Blvd,Houston,,(713) 740-0370,FALSE,2017-08-29 06:04 PM,Bryant,Shelter closed per Pasadena ISD Twitter.,-95.2498661,29.5916559,,,,"Dobie High School, 10220 Blackhawk Blvd, Houston, TX"
Harris,North Shore 9th Grade Campus,13501 Hollypark Dr,Houston,,(832) 386-3400,DNR,2017-08-30 02:34 PM,Josh,No answer; voice mail,-95.1826701,29.7896538,,,,"North Shore 9th Grade Campus, 13501 Hollypark Dr, Houston, TX"
Harris,Paul Revere Middle School,10502 Briar Forest Dr,Houston,,(713) 917-3500,DNR,2017-08-28 08:29 PM,Meredith,No answer; voice mail,-95.5609359,29.7489379,,,,"Paul Revere Middle School, 10502 Briar Forest Dr, Houston, TX"
Harris,Hawa Foundation,5880 Ranchester Drive,Houston,No,(713) 291-1122,DNR,2017-08-29 03:20 PM,Elise,,-95.548149,29.7141,"looking for diapers, canned food, cereal",Needed Wednesday at 4,,"Hawa Foundation, 5880 Ranchester Drive, Houston, TX"
Harris,South Houston Intermediate,900 College Ave,South Houston,,(713) 740-0490,FALSE,2017-08-28 08:39 PM,Meredith,No answer; voice mail,-95.2420725,29.657145,,,,"South Houston Intermediate, 900 College Ave, South Houston, TX"
Harris,Francis Scott Key Middle School,4000 Kelley St,Houston,,(713) 636-6000,FALSE,2017-08-29 12:10 PM,Meredith,No answer; voice mail,-95.3299395,29.8114584,,,,"Francis Scott Key Middle School, 4000 Kelley St, Houston, TX"
Harris,Islamic Center/Masjid Al-Mustafa,17250 Coventry Park Drive,Houston,Yes,281-948-0244,FALSE,2017-08-29 02:00 PM,Hannah,This is a new shelter that is looking for evacuees. ,-95.6716637,29.8620956,"Food, Bedding, Paper Products. Mostly bedding",Volunteers needed,,"Islamic Center/Masjid Al-Mustafa, 17250 Coventry Park Drive, Houston, TX"
Haris,Islamic Center/Masjid Abu-Bakr,8830 Old Galveston Road,Houston,,713-947-0394,FALSE,2017-08-28 08:47 PM,Meredith,busy signal,-95.2078226,29.6318943,,,,"Islamic Center/Masjid Abu-Bakr, 8830 Old Galveston Road, Houston, TX"
Houston,Gallery Furniture,6006 North Freeway,Houston,,(281) 810-9746 ,FALSE,2017-08-29 05:57 PM,Lynn,At capacity,-95.396748,29.854114,,,,"Gallery Furniture, 6006 North Freeway, Houston, TX"
Houston,Gallery Furniture,2411 Post Oak Blvd,Houston,,(281) 810-9746,FALSE,2017-08-29 06:04 PM,Lynn,At capacity,-95.396748,29.854114,,,,"Gallery Furniture, 2411 Post Oak Blvd, Houston, TX"
Houston,Gallery Furniture,7227 West Grand Parkway South,Richmond,Yes,(281) 810-9746,TRUE,2017-08-30 10:33 AM,Mark,Have room for about 5-6 more evacuees,-95.750671,29.673275,Not accepting donations,,,"Gallery Furniture, 7227 West Grand Parkway South, Richmond, TX"
Ft. Bend,Sugar Creek Baptist Church,"13223 Southwest Fwy, Sugar Land, TX 77478",Sugar Land,,(281) 242-2858,DNR,2017-08-28 06:14 PM,Lynn,Voicemail,-95.5938417,29.6258979,,,,"Sugar Creek Baptist Church, 13223 Southwest Fwy, Sugar Land, TX 77478, Sugar Land, TX"
Harris,Morton Ranch High School,21000 Franz Rd,Katy,Yes,(281) 237-7800,FALSE,2017-08-28 09:03 PM,Rawaa,THEY CLOSED/ NOT ABLE TO TAKE MORE,-95.7449926,29.8037899,,,,"Morton Ranch High School, 21000 Franz Rd, Katy, TX"
Harris,Kingdom Builders' Center,6011 W Orem Dr,Houston,,713-726-2500,FALSE,2017-08-29 01:45 PM,Hannah,,-95.4712291,29.6253833,,,,"Kingdom Builders' Center, 6011 W Orem Dr, Houston, TX"
Harris,Forge for Families,3435 Dixie Dr,Houston,No,(713) 660-1860,FALSE,2017-08-29 01:44 PM,Hannah ,At capacity. Interested volunteers can sign up through the American Red Cross,-95.367805,29.704368,"Need baby items- bottles, spoons, formula, similac, baby food. Also need Tylenol and pain medication. In need of prepared foods- snacks, goldfish, cooked pasta, cooked rice, etc. 7PM TUESDAY UPDATED NEEDS AT 3435 DIXIE SHELTER: coffee machines for filter coffee; eggs, bacon, sausage for breakfast; butter; ground beef; lunch meats and bread; chicken pieces; salt, pepper, garlic, seasonings; cooking oil; all kinds of pots, pans, knives, cooking utensils; dish soap; gallon of bleach; dish rags; can opener.  Random deliveries of pizza or subs for volunteers and first responders is always appreciated. ",,,"Forge for Families, 3435 Dixie Dr, Houston, TX"
Harris,Richard E. Berry Educational Support Center,8877 Barker Cypress Rd.,Cypress,Yes,(281) 894-3900,FALSE,2017-08-30 11:39 AM,Scott,"staging area for people waiting for transport, closing down wed 8/30",-95.6886059,29.9048556,,,https://twitter.com/CyFairISD/status/902720149022797824,"Richard E. Berry Educational Support Center, 8877 Barker Cypress Rd., Cypress, TX"
Harris,St. Maximillian Kolbe Catholic Church,10135 West Rd,Houston,"Yes, but have to be kept outside",(281) 955-7324,FALSE,2017-08-29 01:36 PM,Hannah,Open and accepting more. Could use a volunteer to help answer phones. They are asking new volunteers to come in and sign up for shifts. ,-95.5692759,29.9084028,"Biggest needs right now are for dry bedding and cots. Also need eggs, baby formula, diapers, water bottles",,,"St. Maximillian Kolbe Catholic Church, 10135 West Rd, Houston, TX"
Fort Bend,Kempner High School,14777 Voss Rd,Sugar Land,"Yes in crates, service animals do not need to be crated",(281) 634-2300,FALSE,2017-08-29 01:30 PM,Hannah,This shelter is now open ,-95.6460299,29.6440302,No more donations accepted - 10am 8/30,,,"Kempner High School, 14777 Voss Rd, Sugar Land, TX"
Harris,Channelview High School,1100 Sheldon Rd,Channelview,,(281) 452-1450,FALSE,2017-08-28 05:28 PM,Lynn,"Voicemail for Roxanna Martinez, Voicemail. District site says school will resume Tuesday, 9/5 (after Labor Day)",-95.121554,29.795572,,,,"Channelview High School, 1100 Sheldon Rd, Channelview, TX"
Kingwood,Lone Star College Kingwood,20000 Kingwood Drive,Kingwood,Yes,(832) 393-3008,FALSE,2017-08-29 10:30 AM,Doostee,Shelter is taking on water. Will be evacuated to another location. https://t.co/aS2YdhJwNz,-95.2594253,30.0538866,,,,"Lone Star College Kingwood, 20000 Kingwood Drive, Kingwood, TX"
Southwest,ISGH Masjid At Taqwa - Southwest,10415 Synott Rd,Sugar Land,,(832) 878-0287,FALSE,2017-08-29 01:25 PM,Hannah,Has limited capacity ,-95.6157784,29.6653413,Fine on volunteers and supplies. Check back at the end of the week. ,,,"ISGH Masjid At Taqwa - Southwest, 10415 Synott Rd, Sugar Land, TX"
Spring,Masjid Al Salam Champions Mosque,16700 Old Louetta Rd,Spring,"Yes, but outdoor covered only",918-899-2077; 512-576-3882,FALSE,2017-08-29 03:21 PM,Bryant,"They are expecting ~50 evacuees to come today. Would still have room for 30 more.  The contact there is Aman Kariff;  Sherrifs on sight, beds still open as of 3:21 PM.",-95.5605379,30.0090591,"Their needs are currently met with volunteers and supplies. Check back at the end of the week; Have mats, food, toiletries, etc.",No response yet.,Text message from 918 number.,"Masjid Al Salam Champions Mosque, 16700 Old Louetta Rd, Spring, TX"
Fort Bend,Missouri City Middle School,202 Martin Ln,Missouri City,Crated pets,281.342.6185,FALSE,2017-08-29 11:46 AM,amanda,"Opens 11 AM Tuesday, a Red Cross shelter, https://missouricityready.houst.one/fort-bend-county-issues-evacuations-2/",-95.5412697,29.6154249,,,,"Missouri City Middle School, 202 Martin Ln, Missouri City, TX"
Fort Bend,Missouri City Tennis and Recreation Center,2701 Cypress Point Dr,Missouri City,,,FALSE,2017-08-29 11:46 AM,amanda,https://missouricityready.houst.one/fort-bend-county-issues-evacuations-2/,-95.5433411,29.5822082,,,,"Missouri City Tennis and Recreation Center, 2701 Cypress Point Dr, Missouri City, TX"
Harris,Klein ISD Multi-Purpose Center ,FM 7500 2920,Spring,,(832) 249-4240,FALSE,2017-08-29 11:57 AM,Lynn,"Voicemail, full mailbox. ",-95.537443,30.077302,,,ABC 13 Broadcast,"Klein ISD Multi-Purpose Center , FM 7500 2920, Spring, TX"
Harris,Spring High School,19428 I-45,Spring,,(281) 891-7000,FALSE,2017-08-28 09:52 AM,Hannah,"Please note that the sites are not offering food or supplies. They are, however, safe and dry places for community needing shelter from the elements. Please be safe.",-95.4297977,30.0530645,,,ABC 13 Broadcast,"Spring High School, 19428 I-45, Spring, TX"
Colorado,Veterans Hall,305 Park Drive,Wiemar,,,FALSE,2017-08-28 10:36 PM,Selene,,-96.784704,29.7094907,,,http://www.kcentv.com/weather/harvey/list-evacuation-orders-in-houston-area-due-to-harvey/467351186,"Veterans Hall, 305 Park Drive, Wiemar, TX"
Dallas,Samuell Grand Recreation Center,6200 E Grand Avenue,Dallas,No,(214) 670-1383,FALSE,2017-08-29 12:27 PM,Yulan,10 beds left,-96.7415535,32.7974578,,,https://www.texastribune.org/2017/08/28/hurricane-harvey-relief-efforts-how-help/,"Samuell Grand Recreation Center, 6200 E Grand Avenue, Dallas, TX"
Dallas,Walnut Hill Recreation Center,10011 Midway Road,Dallas,,(214) 670-7112,TRUE,2017-08-29 11:06 AM,Lynn,Voicemail. Currently serving as evac center. No mention of full capacity. NOT taking donations at location (Trusted World 15660 North Dallas Pkwy). Volunteers to Red Cross. 214 6786700,-96.8391034,32.8808628,,,https://www.texastribune.org/2017/08/28/hurricane-harvey-relief-efforts-how-help/,"Walnut Hill Recreation Center, 10011 Midway Road, Dallas, TX"
Dallas,Tommie Allen Recreation Center,7071 Bonnie View Rd,Dallas,,(214) 670-0986,FALSE,2017-08-29 12:29 PM,Yulan,At capacity,-96.7531065,32.6594275,,,https://www.texastribune.org/2017/08/28/hurricane-harvey-relief-efforts-how-help/,"Tommie Allen Recreation Center, 7071 Bonnie View Rd, Dallas, TX"
Bexar,San Antonio Shelter Hub,201 Gembler St.,San Antonio,,,FALSE,2017-08-28 10:36 PM,Selene,,-98.43027,29.43554,,,https://gov.texas.gov/hurricane,"San Antonio Shelter Hub, 201 Gembler St., San Antonio, TX"
Dallas,Mesquite Reception Center,15515 Interstate Highway 20,Mesquite,,,FALSE,2017-08-28 10:36 PM,Selene,,-96.5525053,32.7038285,,,https://gov.texas.gov/hurricane,"Mesquite Reception Center, 15515 Interstate Highway 20, Mesquite, TX"
Webb,Bruni High School,619 F. Ave,Bruni,,(361) 747-5415,FALSE,2017-08-29 12:37 PM,Yulan,,-98.8389087,27.430804,,,https://gov.texas.gov/hurricane,"Bruni High School, 619 F. Ave, Bruni, TX"
Bexar,A Volunteer Intake Center,3642 E. Houston St.,San Antonio,,(210) 224-5151,FALSE,2017-08-28 10:36 PM,Selene,,-98.42726,29.42437,,,http://news4sanantonio.com/news/local/hurricane-harvey-available-shelters,"A Volunteer Intake Center, 3642 E. Houston St., San Antonio, TX"
Kerr,Kerrville Bible Church,898 Harper Rd N,Kerrville,No,(830) 895-3589,FALSE,2017-08-29 12:31 PM,Yulan,"Red cross shelter + salvation army. There are 21 people here, can take another 10-12, right off of I-10",-99.1542064,30.0858195,Towels and blankets,,http://news4sanantonio.com/news/local/hurricane-harvey-available-shelters,"Kerrville Bible Church, 898 Harper Rd N, Kerrville, TX"
Kerr,Hill Country Youth Event Center,3785 Highway 27 East ,Kerrville,Yes,(830) 896-9044,FALSE,2017-08-29 12:36 PM,Yulan,"Available, but currently animals are going to the animal shelter - 830-257-3100",-99.1122043,30.0086834,,,http://news4sanantonio.com/news/local/hurricane-harvey-available-shelters,"Hill Country Youth Event Center, 3785 Highway 27 East , Kerrville, TX"
